nc_metric,bin,ood_set,clip_fid,method,avg_rank
var_collapse,high,cifar10,0.2171741844853313,MSR,6.0
var_collapse,high,cifar10,0.2171741844853313,PCE,7.0
var_collapse,high,cifar10,0.2171741844853313,CTM,9.0
var_collapse,high,cifar10,0.2171741844853313,PE,10.5
var_collapse,high,cifar10,0.2171741844853313,NeCo,11.0
var_collapse,high,cifar10,0.2171741844853313,MLS,11.0
var_collapse,high,cifar10,0.2171741844853313,CTMmeanOC,12.0
var_collapse,high,cifar10,0.2171741844853313,NNGuide,13.5
var_collapse,high,cifar10,0.2171741844853313,KPCA RecError global,13.5
var_collapse,high,cifar10,0.2171741844853313,GE,14.0
var_collapse,high,cifar10,0.2171741844853313,CTMmean,14.0
var_collapse,high,cifar10,0.2171741844853313,PCA RecError global,15.5
