dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
ood_nsncs_lsun_cropped,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.21671090294658843,0.07650683660893318,0.8107746564784639,0.29129823858937864,0.3827606752962644
ood_nsncs_lsun_resize,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.2726494910666232,0.10265133095045444,0.9808525015800188,0.3467119901411029,0.4533151453161154
ood_nsncs_isun,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.24567053451016294,0.08505216325066188,0.6225709431307378,0.32432593598137816,0.4332102716201343
ood_nsncs_textures,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.1380773447991444,0.04086596994910509,0.8091394671293246,0.20954781439134038,0.29412070620660696
ood_nsncs_places365,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.2646217991483829,0.09993440309501578,0.4734507842237562,0.33891778686559026,0.44224271278943406
val,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.02414203887522342,0.004438175098711135,1.0,0.13206923183053731,0.26088026541839354
iid_test,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.03246352001399334,0.004763915437196378,0.8558826784725897,0.13798345676385562,0.2667459285260399
ood_sncs_c10,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.34226868829545537,0.158073259166749,0.5771251394921474,0.4143807250826983,0.5295075268043655
ood_nsncs_svhn,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.16877004609788165,0.06273249531682162,0.5194817320584998,0.20882898893537494,0.32676445845613
ood_nsncs_ti,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.28863967181232997,0.11831069040983977,0.5137821571418364,0.3639006247793978,0.48256056135117414
ood_nsncs_lsun_cropped,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.20219370222168426,0.08384034224692781,0.5065078955871585,0.277454655188752,0.39516750966261205
ood_nsncs_lsun_resize,KPCA_RecError_global,Isotonic,modelvit,do1,rew0,2,0.27513386572043574,0.11388274136206018,0.5138249816193596,0.35033293333611387,0.46788124535700343
